Player,Pos,Tm,Age_Segment,PTS_Segment,Predicted_Weighted_Feature_2025
Joel Embiid,C,PHI,26-30,31-40,33.1911054145163
Daniel Gafford,C-PF,TOT,26-30,11-20,10.958939884817363
Giannis Antetokounmpo,PF,MIL,26-30,31-40,30.49768280608007
Precious Achiuwa,PF-C,TOT,18-25,0-10,7.55983112662377
Danilo Gallinari,PF-SF,TOT,36-40,0-10,5.673968540062656
Luka Don?i?,PG,DAL,18-25,31-40,32.587672422127916
Terry Rozier,PG-SG,TOT,26-30,11-20,19.703496364592127
DeMar DeRozan,SF,CHI,31-35,21-30,23.84397886222857
Bojan Bogdanovi?,SF-PF,TOT,31-35,11-20,15.126909396684525
Buddy Hield,SF-SG,TOT,31-35,11-20,12.066063486512542
Donovan Mitchell,SG,CLE,26-30,21-30,26.55280304353636
Jaden Springer,SG-PG,TOT,18-25,0-10,3.2896217547875257
